cell,p,beta,n,variable
Equatorial,0.18952174364646832,6.817296671544586e-5,216,percent_afd_night
Arid,1.0898104228236117e-8,4.851667024108526e-4,216,percent_afd_night
Temperate,0.022618583764647787,1.2861940296523365e-4,216,percent_afd_night
Boreal,0.013589190393875478,2.960419071809269e-4,216,percent_afd_night
Equatorial,7.712674556070448e-4,-0.0014689547632654183,216,day_afd_per_op_per_Mkm2
Arid,0.6104261575602133,-1.160978435011118e-4,216,day_afd_per_op_per_Mkm2
Temperate,0.031180580273213316,-0.0016160935501954347,216,day_afd_per_op_per_Mkm2
Boreal,0.06045455132255214,-2.2520574193951283e-4,216,day_afd_per_op_per_Mkm2
Equatorial,0.018858067019610437,-2.4040447588515794e-4,216,night_afd_per_op_per_Mkm2
Arid,0.019303094299942924,1.1558273960463476e-4,216,night_afd_per_op_per_Mkm2
Temperate,0.1973427786675669,-7.02893448997853e-5,216,night_afd_per_op_per_Mkm2
Boreal,0.2234566142306372,2.197005206638245e-5,216,night_afd_per_op_per_Mkm2
Equatorial,0.5130507998364187,-2.627403079207763e-5,216,mean_frp_per_detection
Arid,0.04464794284580701,1.731957611770201e-4,216,mean_frp_per_detection
Temperate,8.950839864443831e-4,5.880551890953003e-4,216,mean_frp_per_detection
Boreal,0.0017276074344864515,5.581863626050552e-4,216,mean_frp_per_detection
