lc_kop,vpd_thresh_hpa,sd,millions_of_km2
Arid Croplands,24.909,21.831246467444828,2.6295755397804066
Arid Grasslands,11.057,17.104979723207254,14.484110926820954
Arid Open Shrublands,6.81,14.224071998700802,8.09482159193202
Arid Savannas,12.603,18.805026456243553,0.9058482342750741
Arid Woody Savannas,13.774,20.454028730088634,0.16901439822814693
Boreal Croplands,12.466,14.697307741721096,4.206807537673012
Boreal Evergreen Needleleaf Forests,13.374,18.763053487537046,2.018631281085991
Boreal Grasslands,12.301,18.188436387392354,4.445212965868771
Boreal Savannas,8.916,10.546381852093644,4.9860034340704456
Boreal Woody Savannas,7.64,11.675046325677116,5.903933059832384
Equatorial Cropland Natural Vegetation Mosaics,20.521,14.603520870729149,0.4779221406278454
Equatorial Croplands,21.711,16.922524954948386,2.1696606169004995
Equatorial Deciduous Broadleaf Forests,14,14.443705224789817,0.6931774008484427
Equatorial Evergreen Broadleaf Forests,13.328,13.724969609831229,10.721340411158971
Equatorial Grasslands,19.933,15.253759804985398,4.498495971880393
Equatorial Permanent Wetlands,10.208,12.668592235494408,0.3874920131280669
Equatorial Savannas,17.568,15.740620799166186,6.787060768581291
Equatorial Woody Savannas,18.28,16.028178390026188,2.671607192412088
Temperate Croplands,20.607,18.68158324533958,2.6739680979593574
Temperate Deciduous Broadleaf Forests,5.201,10.986596575113893,0.6229178754843134
Temperate Evergreen Broadleaf Forests,7.938,16.45931544946706,1.527897483561824
Temperate Evergreen Needleleaf Forests,4.754,13.206358010136325,0.45408053592694253
Temperate Grasslands,10.963,15.611128669584987,3.127412885168123
Temperate Savannas,10.075,14.489835414190539,3.461417135555904
Temperate Woody Savannas,7.93,13.84220743619697,2.347004393012155
